Codice_Fiscale,Nome,Cognome,Via,Numero_Civico,CAP,Provincia,Data_Nascita,Email,Telefono,Vendita,Noleggio
XLIDDU69T06C416N,Ailis,Osband,Myrtle,66,28055,DM,1967-11-14,aosband9w@deviantart.com,647-363-6648,1,0
XNVOQX45J98O010Q,Ardelia,Hand,Vidon,8,01266,CM,1997-01-29,ahandd@de.vu,453-132-8537,0,0
XQKLOF03H62I351U,Gillan,Galton,Katie,113,21336,AU,1996-06-18,ggaltongv@sitemeter.com,203-633-4186,1,1
XRWMMI72M55K352Q,Lucine,Mitchely,Quincy,173,14378,VZ,1969-11-15,lmitchelydu@theglobeandmail.com,265-369-1316,1,1
XUAPTR00W41V274B,Ernestine,Stallan,Clove,23,45600,LB,1959-02-12,estallan2n@elpais.com,619-583-6276,1,1
XUBJAP52L21E814J,Ariella,Newtown,Hoard,8,35455,UV,1962-06-18,anewtown17@apache.org,144-368-1463,0,0
XXWKAS57J16D953M,Ricki,Bladon,Longview,70,06255,XD,1966-04-07,rbladondt@goo.ne.jp,682-284-2640,0,1
XYHWCZ08K73F696Z,Spencer,Szantho,Schurz,143,02186,FZ,1993-06-28,sszanthogu@instagram.com,426-135-5093,1,1
XZJPNT29Y28Q369V,Delcine,Szachniewicz,Stuart,61,39774,PF,1990-09-20,dszachniewicz84@dmoz.org,587-808-9662,0,0
XZLNXD61W07W071C,Nils,Mouse,Kenwood,87,69896,DE,1985-11-09,nmousec1@howstuffworks.com,607-411-7360,0,0
YCAYLA57O44Y135L,Viviana,Voss,Corben,43,49561,NL,1956-01-14,vvossbs@psu.edu,763-869-3956,0,0
YDJMLY03L31O248W,Bradford,Signore,Trailsway,29,12503,MN,1954-05-20,bsignorefp@taobao.com,584-636-8904,1,1
YECXHM60V80K617K,Gwendolyn,Been,Northport,22,18208,NK,1965-12-31,gbeen7i@illinois.edu,716-790-5915,0,0
YGTOXW44C12M836N,Swen,Bewicke,Southridge,183,13840,BR,1967-06-10,sbewicke8y@vinaora.com,312-607-8599,0,0
YIWLON15J07F038U,Bridie,Effemy,Rutledge,178,40327,AH,1968-04-16,beffemy2f@hatena.ne.jp,795-208-6164,1,1
YJDRRB60D96K164R,Viv,Corrado,Golf,114,74178,TR,1970-01-09,vcorradogd@behance.net,353-586-0226,1,0
YMXJUL08B57G979X,Nilson,Tomkin,Kim,146,42886,JT,1979-07-15,ntomkin6a@joomla.org,118-650-4106,0,0
YOWUFT62K58K374L,Sascha,Crossingham,Claremont,143,34349,TC,1986-02-03,scrossingham8d@mail.ru,303-979-4921,0,1
YPCAHS23G89S956B,Geri,Ginty,Russell,197,74738,PC,1975-07-30,ggintyhz@facebook.com,332-842-9151,1,1
YPHYBB88U50L631R,Hunt,Belvin,Sutteridge,163,47783,XK,1992-09-04,hbelvin8o@slashdot.org,904-886-6196,0,0
YPMTZU75A92R101S,Bonnee,Valintine,Springview,111,40208,FM,1968-02-03,bvalintineca@google.es,492-978-4459,0,1
YQZCAY08U06W201F,Dominique,Martynka,Ohio,67,09790,ZC,1967-07-15,dmartynkahv@ovh.net,982-997-9006,1,0
YVBLNE07O47U904E,Sascha,Malley,David,188,25136,QY,1991-09-17,smalleyf3@plala.or.jp,335-716-3771,1,1
YVTZAK26J32H313X,Marylou,Carletto,Maywood,50,22051,GS,1956-11-21,mcarletto2a@weather.com,982-971-4800,0,1
YVUCJJ70V84H642L,Quillan,Jeens,Annamark,196,99454,DQ,1985-10-16,qjeens34@biblegateway.com,247-429-0584,1,0
YWBVEP91T05O724C,Sybyl,Glayzer,Mosinee,198,03586,ID,1961-11-15,sglayzergc@buzzfeed.com,119-187-4487,0,0
YWMBEH67B00Q536D,Paola,Lanceley,International,160,48826,HY,1992-09-22,planceley1z@accuweather.com,799-314-2762,1,1
YYLIVJ31Z43Z098X,Angus,Shillito,Melvin,134,70067,SE,1969-05-31,ashillito7q@paypal.com,478-528-8486,1,0
YYTGMB68R65F200F,Emelia,Arlet,Shasta,93,52149,RF,1987-08-14,earlet6x@earthlink.net,774-498-2486,0,1
YZCHUW40I09G027D,Johannes,Russel,Shoshone,13,55986,GQ,1958-09-15,jrusselgb@yale.edu,315-356-0423,0,0
YZOQJD54M64E872K,Merwin,Coping,Melvin,101,32381,QH,1996-04-23,mcopingac@hao123.com,747-683-5583,0,0
ZCKFZW80N52F104J,Brockie,Bedson,Nobel,156,45898,LY,1950-12-29,bbedsonde@ehow.com,404-573-3764,1,0
ZEKGXV03F93Z278M,Elmira,Lascelles,Mandrake,94,87611,PG,1955-02-16,elascellesao@timesonline.co.uk,642-416-2926,0,1
ZGGSBO79K14D452O,Raymund,Alliot,Lindbergh,10,95453,BU,1977-06-02,ralliotcn@blogger.com,733-236-3991,0,1
ZIWMID76K98U160D,Marlowe,McKaile,Shasta,165,93655,PF,1959-06-15,mmckailea3@goo.gl,302-898-3840,1,0
ZJFGNI77Q32H490X,Craggie,Wolland,"New Castle",159,87860,YJ,1982-06-04,cwolland1e@go.com,116-438-5704,0,0
ZJFOED40R72K739Q,Maximilianus,Poulgreen,Monument,26,08455,ZC,1963-07-15,mpoulgreen2c@sphinn.com,763-772-3531,1,0
ZNDGNP59J71T638V,Jobina,Grigorian,Rockefeller,177,79280,GG,1959-10-25,jgrigorian86@eventbrite.com,610-817-0717,1,0
ZPGJZH98O47C759B,Beverlee,Renihan,Alpine,6,10111,TW,1992-02-20,brenihang2@timesonline.co.uk,290-244-4823,1,0
ZPMBEM76E99W393V,Demetra,Olufsen,Maryland,6,22372,UE,1966-12-31,dolufsen49@joomla.org,899-881-6266,1,0
ZQBZBE99H04M220C,Evin,Leuren,Butterfield,171,88766,NT,1983-04-06,eleuren1i@cnbc.com,964-628-3779,0,1
ZQEROM53X98W618F,Kalil,Sircombe,"Saint Paul",4,81356,FH,1992-07-08,ksircombeet@businesswire.com,729-291-6709,0,0
ZQIEER25Z09Q808X,Lucita,Pointin,Knutson,159,60575,UN,1972-05-29,lpointinw@toplist.cz,678-714-4722,1,1
ZTDNHA00T76Z033H,Etan,Yurkin,Karstens,139,77676,LG,1997-08-12,eyurkingg@yale.edu,298-398-5138,1,1
ZUAHGT40I70M001N,Nalani,MacConnell,Tomscot,45,00341,GT,1973-04-05,nmacconnell56@cnn.com,264-832-6620,0,1
ZUBBMO66R34O117Z,Jedediah,Furse,Elka,71,61522,UZ,1994-04-04,jfurse33@goo.gl,454-419-3436,0,0
ZVEYQD17M26N391D,Eldredge,Spraggon,"Meadow Valley",106,33240,LZ,1959-05-06,espraggonfw@timesonline.co.uk,438-314-8715,1,0
